,num__int.rate,num__installment,num__log.annual.inc,num__loan_income_ratio,num__dti,num__days.with.cr.line,num__revol.bal,num__revol.util,num__fico,num__inq.last.6mths,num__delinq.2yrs,num__pub.rec,num__credit.policy,cat__purpose_all_other,cat__purpose_credit_card,cat__purpose_debt_consolidation,cat__purpose_educational,cat__purpose_home_improvement,cat__purpose_major_purchase,cat__purpose_small_business
38,-0.8552769741571159,-0.7589186480861159,-0.2498986744856889,-0.6278516715013298,-0.6693996039906058,-0.10163785429026255,0.31713473524388874,0.05976336060903508,-0.1052783358670268,-0.2615385575642869,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2372,0.5752859110591925,0.43476473159001455,-0.6734780707389111,1.478702412653904,0.12136204543500337,-0.5441730742019961,-0.3516589789560412,1.6320297697095216,-0.23768848186393476,-0.2615385575642869,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
834,-0.22030128098016435,1.0128090169996824,0.5820995513181142,0.26275918398104636,0.12281832839895473,-0.8671329156535511,-0.06292564779692317,-0.005891720210545635,-0.23768848186393476,0.6617088177213922,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1548,-1.706891433241498,-1.0851259126281514,-0.9434053791718657,-0.730649343461838,0.9762001452744735,-0.7833902808780239,-0.411150892926905,-1.156583399837935,1.7484637080896848,-0.2615385575642869,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1362,-0.7656333468850757,-0.36629388789707606,0.560684065947831,-0.7060190108965563,-0.0927115502658522,0.04466672468765661,0.7257046212530601,-0.22359014608599778,0.556772394117513,0.6617088177213922,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3859,0.5752859110591925,1.7486551026621016,0.6352676466916489,0.7105885712242365,0.33689192409981006,-0.02988930472637202,0.547939485097407,-0.06118020932177159,-0.5025087738577507,-0.7231622452071265,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5410,-0.2875340014341944,-0.58265683271522,-0.7652695673566929,0.0010736246556137465,-1.6043332668474033,0.31697564495386815,-0.4333502167736535,-1.4122926619773548,0.821592686111329,1.1233325053642318,5.344614961977817,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2400,-1.094326646882556,-1.3821249025968307,-0.7184557759003867,-1.3049953351488004,1.1276535735254192,-0.3528159213000916,-0.23256145409320358,0.38458323413748724,0.821592686111329,-0.7231622452071265,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3458,-0.4854970116599498,0.35600842688231854,0.4104954775252135,-0.054500561510433414,-0.48153910164087543,-0.3611885235337526,0.15531559227392822,0.7163141688048424,0.689182540114421,-0.7231622452071265,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156,-0.7357521377943953,-1.0676298669678737,-0.6303947442040044,-0.8474086002718256,1.0635771231115576,-0.7953677536507429,-0.4661517785139195,1.7149625033763607,-0.6349189198546586,-0.7231622452071265,-0.29982884762577144,-0.2367160560995698,0.4876503951767019,1.0,0.0,0.0,0.0,0.0,0.0,0.0
